id;name;typ;ort;telefon;email;ansprechpartner;bewertungen;sterne;beobachtung;demo_url;webseite;branche
suldin-montage;Suldin Montage & Demontage Service;Montage & Demontage;Reinbek;+49 176 86244250;info@suldin-montage-service.de;;;;auf Ihrer Seite steht seit einer Weile nur "Bald verfügbar" — die Domain haben Sie schon, die Seite fehlt noch;;bald-verfuegbar;handwerk
zur-muehle;Zur Mühle Reinbek — Hannemanns Mühle;Restaurant;Reinbek;+49 40 72810538;;;;;Ihre Seite läuft noch über eine kostenlose Jimdo-Adresse — auf dem Handy schwer zu lesen und ohne eigene Domain findet Google Sie schlechter;;jimdofree.com;gastro
salon-schoenmeier;Salon Schönmeier;Friseur;Reinbek;+49 40 7103079;;;;;Sie sind auf Buchungsportalen zu finden, haben aber keine eigene Seite — Ihre Preise und Öffnungszeiten stehen nirgends bei Ihnen selbst;;keine gefunden;friseur
physioteam-reinbek;Physioteam Reinbek UG;Physiotherapie;Reinbek;+49 40 72810720;;Frau Nohr;;;wer in Reinbek einen Physiotherapeuten sucht, findet Sie nur über Branchenbücher — eine eigene Seite mit Ihren Schwerpunkten fehlt;;keine gefunden;physio
physiotherapiepraxis-reinbek;Physiotherapiepraxis Reinbek;Physiotherapie;Reinbek;+49 40 32086646;;;;;Sie stehen in den Branchenbüchern, aber ohne eigene Seite sieht niemand Ihre Schwerpunkte oder ob Sie gerade Termine frei haben;;keine gefunden;physio
zietz-weber;Physiotherapie Zietz und Weber;Physiotherapie;Reinbek;+49 40 7227696;;;;;zwei Praxen am Rosenplatz und keine hat eine eigene Seite — wer als Erster eine hat, wird zuerst gefunden;;keine gefunden;physio
studio-beauty-time;Studio Beauty Time;Kosmetik & Fußpflege;Reinbek;+49 40 78876577;;;;;Sie bieten Kosmetik, Fußpflege und Naildesign an — auf Portalen steht aber nur ein Bruchteil davon, und Ihre Preise gar nicht;;keine gefunden;kosmetik
cosmetic-christ;Cosmetic Christ;Kosmetikstudio;Reinbek;+49 40 24433614;;;;;man findet Sie nur über ein Buchungsportal — das nimmt Provision und Ihre eigene Seite hätten Sie ohne laufende Kosten;;keine gefunden;kosmetik
fahrschule-am-bahnhof;Fahrschule am Bahnhof;Fahrschule;Reinbek;+49 40 7226665;;;;;Fahrschüler suchen alles am Handy — die anderen Reinbeker Fahrschulen haben eine Seite, Sie noch nicht;;keine gefunden;fahrschule
rein-cut-beauty;Rein Cut & Beauty;Friseur;Reinbek;[Telefon prüfen];;;;;Sie liegen direkt an der Bahnhofstraße, aber wer Sie googelt findet keine Öffnungszeiten und keine Preise;;keine gefunden;friseur
wertz-rehfeldt;Physiotherapiepraxis Wertz & Rehfeldt;Physiotherapie;Reinbek;[Telefon prüfen];;;;;Ihre Praxis steht nur im Branchenbuch — Patienten sehen weder Ihre Schwerpunkte noch Ihre Zeiten;;keine gefunden;physio
lukic-system-montage;Lukic-System-Montage GmbH;System- und Baumontage;Glinde;+49 40 32527683;info@lukic-system-montage.de;Herr Lukic;;;Ihre Seite läuft noch über http statt https — Chrome zeigt Besuchern deshalb "Nicht sicher" an;;http ohne TLS;handwerk
lochte-hsf;O. & T. Lochte Heizung-Sanitär-Fliesen GmbH;Heizung · Sanitär · Fliesen;Reinbek;+49 40 7273820;olaf.lochte@lochte-h-s-f.de;Herr Lochte;12;4,8;Sie haben 4,8 Sterne bei 12 Bewertungen — aber ich finde bei Ihnen keine Stellenanzeige, dabei sucht gerade jeder SHK-Betrieb Monteure;;lochte-h-s-f.de;handwerk
